mission,object_id,source_id_raw,label,period_d,dur_h,depth_ppm,impact,ror,prad_re,a_au,a_over_rstar,insol_earth,teq_k,teff_k,logg_cgs,radius_rsun,mass_msun,feh_dex,mes,snr,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec,epoch_bjd_raw,epoch_bjd
KEPLER,10875245,10875245,1,4.90144976,4.1654,140.7,0.529,,1.7,,,598.74,1262.0,5847.0,4.191,1.402,,,,50.6,0.0,0.0,0.0,0.0,138.60548,2454971.60548
KEPLER,5358624,5358624,1,3.525632539,2.59959,22335.0,0.12,,11.58,,,213.12,975.0,5150.0,4.572,0.793,,,,1996.7,0.0,0.0,0.0,0.0,170.0479951,2455003.0479951
KEPLER,4544670,4544670,1,34.84398644,2.9315,4523.6,0.934,,7.61,,,16.1,511.0,5509.0,4.482,0.871,,,,76.8,0.0,0.0,0.0,0.0,172.633252,2455005.633252
KEPLER,4664847,4664847,1,7.748094239,3.5957,2472.1,0.517,,5.52,,,204.39,964.0,5973.0,4.439,1.085,,,,113.2,0.0,0.0,0.0,0.0,174.997206,2455007.997206
KEPLER,4725681,4725681,1,23.96793669,3.827,1182.3,0.416,,1.8,,,2.77,329.0,3747.0,4.728,0.524,,,,27.5,0.0,0.0,0.0,0.0,186.22182,2455019.22182
KEPLER,4913852,4913852,1,8.11437482,2.2736,1558.0,0.573,,2.1,,,10.55,460.0,3692.0,4.753,0.517,,,,56.4,0.0,0.0,0.0,0.0,176.33968,2455009.33968
KEPLER,4932348,4932348,0,38.036729482,4.34617,82872.0,0.501,,27.5,,,14.81,500.0,5575.0,4.521,0.932,,,,1300.0,0.0,1.0,0.0,0.0,196.934947,2455029.934947
KEPLER,4936180,4936180,1,4.64090031,35.512,2450.6,1.28,,30.09,,,421.08,1155.0,6463.0,4.5,0.826,,,,296.9,0.0,0.0,0.0,0.0,173.64638,2455006.64638
KEPLER,11913073,11913073,0,3.747838198,5.0642,616.0,1.121,,13.65,,,266.76,1031.0,5514.0,4.569,0.826,,,,138.2,0.0,1.0,1.0,1.0,171.66504,2455004.66504
KEPLER,5021899,5021899,1,21.81295996,4.3791,1175.4,0.053,,3.38,,,39.33,639.0,5601.0,4.41,0.999,,,,37.8,0.0,0.0,0.0,0.0,174.01085,2455007.01085
KEPLER,5077629,5077629,0,7.91936937,3.3148,15148.0,0.733,,10.34,,,104.0,814.0,5690.0,4.588,0.776,,,,389.0,0.0,1.0,0.0,0.0,172.181092,2455005.181092
KEPLER,5115978,5115978,1,1.028436523,1.8606,8098.0,1.5734,,72.77,,,3400.48,1947.0,6228.0,4.428,0.99,,,,89.6,0.0,0.0,0.0,0.0,170.228582,2455003.228582
KEPLER,5164255,5164255,1,15.37562369,3.3169,15337.0,0.692,,11.01,,,30.54,600.0,4986.0,4.496,0.833,,,,166.0,0.0,0.0,0.0,0.0,173.61402,2455006.61402
KEPLER,5252423,5252423,1,8.10363271,3.161,887.9,0.047,,2.11,,,52.82,687.0,4861.0,4.574,0.732,,,,39.3,0.0,0.0,0.0,0.0,176.9486,2455009.9486
KEPLER,5272878,5272878,1,6.365839713,2.9721,780.7,0.524,,2.44,,,165.33,914.0,5776.0,4.554,0.849,,,,70.8,0.0,0.0,0.0,0.0,171.13575,2455004.13575
KEPLER,5283542,5283542,0,5.97581754,3.065,962.4,0.941,,3.86,,,284.25,1047.0,6108.0,4.471,0.997,,,,50.3,0.0,0.0,1.0,0.0,174.77602,2455007.77602
KEPLER,5649215,5649215,0,2.446737317,4.7211,1177.9,1.241,,26.25,,,597.19,1261.0,5764.0,4.548,0.863,,,,110.2,0.0,0.0,1.0,1.0,170.66951,2455003.66951
KEPLER,5651104,5651104,1,3.04033046,1.8411,10859.0,0.736,,8.99,,,257.29,1021.0,5035.0,4.519,0.791,,,,568.2,0.0,0.0,0.0,0.0,169.9490106,2455002.9490106
KEPLER,5792202,5792202,1,15.33528675,3.897,3081.4,0.773,,5.0,,,32.67,610.0,5251.0,4.581,0.817,,,,86.6,0.0,0.0,0.0,0.0,174.00278,2455007.00278
