mission,object_id,source_id_raw,label,period_d,dur_h,depth_ppm,impact,ror,prad_re,a_au,a_over_rstar,insol_earth,teq_k,teff_k,logg_cgs,radius_rsun,mass_msun,feh_dex,mes,snr,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec,epoch_bjd_raw,epoch_bjd,fpflag_sum
KEPLER,6307000,6307000,1,1.002591901,1.247,143.2,0.312,NA,0.87,0.07015,NA,884.21,1391.0,4893.0,4.574,0.739,0.8805000000000001,-0.06,NA,11.1,0.0,0.0,0.0,0.0,131.65849,2454964.65849,0.0
KEPLER,6311637,6311637,0,1.620813697,5.9968,121320.0,0.636,NA,43.95,0.07015,NA,2127.67,1733.0,5757.0,4.209,1.177,0.8805000000000001,-0.06,NA,680.4,0.0,1.0,0.0,0.0,132.727367,2454965.727367,1.0
KEPLER,6345758,6345758,1,3.37116682,4.708,71.4,0.318,NA,0.98,0.07015,NA,656.3,1291.0,5653.0,4.288,1.163,0.8805000000000001,-0.06,NA,9.8,0.0,0.0,0.0,0.0,132.0176,2454965.0176,0.0
KEPLER,6364126,6364126,0,5.2434664,18.47,119.4,1.016,NA,2.83,0.07015,NA,113.05,831.0,5047.0,4.574,0.766,0.8805000000000001,-0.06,NA,10.7,0.0,1.0,1.0,1.0,132.7707,2454965.7707,3.0
KEPLER,6364195,6364195,0,5.2439542,9.82,143.8,0.223,NA,0.81,0.07015,NA,86.51,778.0,4920.0,4.636,0.691,0.8805000000000001,-0.06,NA,14.2,1.0,0.0,1.0,1.0,132.6525,2454965.6525,3.0
KEPLER,6364200,6364200,0,5.2441517,9.69,90.1,0.557,NA,0.91,0.07015,NA,293.68,1056.0,6060.0,4.509,0.925,0.8805000000000001,-0.06,NA,10.5,0.0,0.0,0.0,1.0,132.6668,2454965.6668,1.0
KEPLER,6364247,6364247,0,5.2443332,11.268,29.9,0.775,NA,0.58,0.07015,NA,291.25,1054.0,5952.0,4.489,0.971,0.8805000000000001,-0.06,NA,13.5,0.0,0.0,1.0,1.0,132.6164,2454965.6164,2.0
KEPLER,7105574,7105574,0,20.726069913,6.47393,118860.0,0.989,NA,51.9,0.07015,NA,43.93,657.0,6011.0,4.522,0.902,0.8805000000000001,-0.06,NA,1216.8,0.0,1.0,0.0,0.0,143.201391,2454976.201391,1.0
KEPLER,7115200,7115200,0,0.566801447,2.352,16.2,0.615,NA,0.57,0.07015,NA,11321.32,2633.0,5966.0,4.184,1.349,0.8805000000000001,-0.06,NA,13.8,1.0,0.0,0.0,1.0,131.79977,2454964.79977,2.0
KEPLER,7115332,7115332,0,0.566794934,4.399,68.9,0.974,NA,1.15,0.07015,NA,8648.94,2457.0,6395.0,4.436,1.049,0.8805000000000001,-0.06,NA,21.7,1.0,0.0,0.0,1.0,131.84569,2454964.84569,2.0
KEPLER,7115463,7115463,0,0.566800287,3.487,73.9,0.648,NA,0.88,0.07015,NA,6188.18,2260.0,6075.0,4.486,0.969,0.8805000000000001,-0.06,NA,23.3,1.0,0.0,1.0,1.0,131.815992,2454964.815992,3.0
KEPLER,7115597,7115597,0,0.566791946,2.77,125.7,0.982,NA,1.54,0.07015,NA,5129.25,2160.0,5836.0,4.5,0.97,0.8805000000000001,-0.06,NA,14.1,1.0,0.0,0.0,1.0,131.8145,2454964.8145,2.0
KEPLER,7115878,7115878,0,0.566790294,3.641,64.0,0.393,NA,0.89,0.07015,NA,8244.38,2432.0,6100.0,4.358,1.093,0.8805000000000001,-0.06,NA,22.6,1.0,0.0,1.0,1.0,131.83481,2454964.83481,3.0
KEPLER,7116043,7116043,0,0.566799725,4.097,46.7,0.33,NA,0.77,0.07015,NA,6460.25,2289.0,5576.0,4.297,1.132,0.8805000000000001,-0.06,NA,12.5,0.0,0.0,1.0,1.0,131.8211,2454964.8211,2.0
KEPLER,7116226,7116226,0,0.566801325,4.176,92.1,0.77,NA,1.07,0.07015,NA,7585.82,2383.0,6273.0,4.454,1.021,0.8805000000000001,-0.06,NA,26.4,1.0,0.0,0.0,1.0,131.82499,2454964.82499,2.0
